sensitivity:	name:	alpha-3:	type
Low:	Afghanistan:	AFG:	City
Medium:	Aland Islands:	ALA:	County
High:	Albania:	ALB:	State
Low:	Algeria:	DZA:	Country
Medium:	American Samoa:	ASM:	CrossBorderArea
High:	Andorra:	AND:	City
Low:	Angola:	AGO:	County
Medium:	Anguilla:	AIA:	State
High:	Antarctica:	ATA:	Country
Low:	Antigua and Barbuda:	ATG:	CrossBorderArea
Medium:	Argentina:	ARG:	City
High:	Armenia:	ARM:	County
Low:	Aruba:	ABW:	State
Medium:	Australia:	AUS:	Country
High:	Austria:	AUT:	CrossBorderArea
Low:	Azerbaijan:	AZE:	City
Medium:	Bahamas:	BHS:	County
High:	Bahrain:	BHR:	State
Low:	Bangladesh:	BGD:	Country
Medium:	Barbados:	BRB:	CrossBorderArea
High:	Belarus:	BLR:	City
Low:	Belgium:	BEL:	County
Medium:	Belize:	BLZ:	State
High:	Benin:	BEN:	Country
Low:	Bermuda:	BMU:	CrossBorderArea
Medium:	Bhutan:	BTN:	City
High:	Bolivia (Plurinational State of):	BOL:	County
Low:	Bonaire, Sint Eustatius and Saba:	BES:	State
Medium:	Bosnia and Herzegovina:	BIH:	Country
High:	Botswana:	BWA:	CrossBorderArea
Low:	Bouvet Island:	BVT:	City
Medium:	Brazil:	BRA:	County
High:	British Indian Ocean Territory:	IOT:	State
Low:	Brunei Darussalam:	BRN:	Country
Medium:	Bulgaria:	BGR:	CrossBorderArea
High:	Burkina Faso:	BFA:	City
Low:	Burundi:	BDI:	County
Medium:	Cabo Verde:	CPV:	State
High:	Cambodia:	KHM:	Country
Low:	Cameroon:	CMR:	CrossBorderArea
Medium:	Canada:	CAN:	City
High:	Cayman Islands:	CYM:	County
Low:	Central African Republic:	CAF:	State
Medium:	Chad:	TCD:	Country
High:	Chile:	CHL:	CrossBorderArea
Low:	China:	CHN:	City
Medium:	Christmas Island:	CXR:	County
High:	Cocos (Keeling) Islands:	CCK:	State
Low:	Colombia:	COL:	Country
Medium:	Comoros:	COM:	CrossBorderArea
High:	Congo:	COG:	City
Low:	Congo, Democratic Republic of the:	COD:	County
Medium:	Cook Islands:	COK:	State
High:	Costa Rica:	CRI:	Country
Low:	Côte dIvoire:	CIV:	CrossBorderArea
Medium:	Croatia:	HRV:	City
High:	Cuba:	CUB:	County
Low:	Curaçao:	CUW:	State
Medium:	Cyprus:	CYP:	Country
High:	Czechia:	CZE:	CrossBorderArea
Low:	Denmark:	DNK:	City
Medium:	Djibouti:	DJI:	County
High:	Dominica:	DMA:	State
Low:	Dominican Republic:	DOM:	Country
Medium:	Ecuador:	ECU:	CrossBorderArea
High:	Egypt:	EGY:	City
Low:	El Salvador:	SLV:	County
Medium:	Equatorial Guinea:	GNQ:	State
High:	Eritrea:	ERI:	Country
Low:	Estonia:	EST:	CrossBorderArea
Medium:	Eswatini:	SWZ:	City
High:	Ethiopia:	ETH:	County
Low:	Falkland Islands (Malvinas):	FLK:	State
Medium:	Faroe Islands:	FRO:	Country
High:	Fiji:	FJI:	CrossBorderArea
Low:	Finland:	FIN:	City
Medium:	France:	FRA:	County
High:	French Guiana:	GUF:	State
Low:	French Polynesia:	PYF:	Country
Medium:	French Southern Territories:	ATF:	CrossBorderArea
High:	Gabon:	GAB:	City
Low:	Gambia:	GMB:	County
Medium:	Georgia:	GEO:	State
High:	Germany:	DEU:	Country
Low:	Ghana:	GHA:	CrossBorderArea
Medium:	Gibraltar:	GIB:	City
High:	Greece:	GRC:	County
Low:	Greenland:	GRL:	State
Medium:	Grenada:	GRD:	Country
High:	Guadeloupe:	GLP:	CrossBorderArea
Low:	Guam:	GUM:	City
Medium:	Guatemala:	GTM:	County
High:	Guernsey:	GGY:	State
Low:	Guinea:	GIN:	Country
Medium:	Guinea-Bissau:	GNB:	CrossBorderArea
High:	Guyana:	GUY:	City
Low:	Haiti:	HTI:	County
